	time	[fba__A]	[C]	[fba__B1]	[fba__B2]	[model__D]	fba__R1	fba__R2	R3	update__R3	model__R4	vR3
0	0.0	10.0	0.099501661687	0.0	0.0	0.000498338313117	0.0	0.0	0.0	1.0	0.0099501661687	1.0
1	0.1	10.0	0.196043027312	0.0	0.0	0.00197684010877	0.0	0.0	0.0	0.980198674204	0.0196043027312	0.980198674204
2	0.2	10.0	0.289692543682	0.0	0.0	0.00440626491183	0.0	0.0	0.0	0.960789411728	0.0289692543682	0.960789411728
3	0.3	10.0	0.3805171714	0.0	0.0	0.00775808223632	0.0	0.0	0.0	0.941764450434	0.03805171714	0.941764450434
4	0.4	10.0	0.468582545066	0.0	0.0	0.0120043295599	0.0	0.0	0.0	0.923116209896	0.0468582545066	0.923116209896
5	0.5	10.0	0.553952688754	0.0	0.0	0.0171179039139	0.0	0.0	0.0	0.904837180412	0.0553952688754	0.904837180412
6	0.6	10.0	0.636690439238	0.0	0.0	0.0230721716174	0.0	0.0	0.0	0.886920181878	0.0636690439238	0.886920181878
7	0.7	10.0	0.716857210483	0.0	0.0	0.029841204174	0.0	0.0	0.0	0.869358038017	0.0716857210483	0.869358038017
8	0.8	10.0	0.794513259911	0.0	0.0	0.0373995335441	0.0	0.0	0.0	0.852143787981	0.0794513259911	0.852143787981
9	0.9	10.0	0.869717492812	0.0	0.0	0.0457223487036	0.0	0.0	0.0	0.835270480607	0.0869717492812	0.835270480607
10	1.0	10.0	0.94252750303	0.0	0.0	0.054785474172	0.0	0.0	0.0	0.818731356858	0.094252750303	0.818731356858
11	1.1	10.0	1.01299965434	0.0	0.0	0.0645653069633	0.0	0.0	0.0	0.802519840987	0.101299965434	0.802519840987
12	1.2	10.0	1.08118909767	0.0	0.0	0.0750388128461	0.0	0.0	0.0	0.786629492143	0.108118909767	0.786629492143
13	1.3	10.0	1.14714986241	0.0	0.0	0.0861834490921	0.0	0.0	0.0	0.771054009916	0.114714986241	0.771054009916
14	1.4	10.0	1.21093488185	0.0	0.0	0.0979771462599	0.0	0.0	0.0	0.755787166038	0.121093488185	0.755787166038
15	1.5	10.0	1.27259587772	0.0	0.0	0.110398430117	0.0	0.0	0.0	0.740822797296	0.127259587772	0.740822797296
16	1.6	10.0	1.33218346547	0.0	0.0	0.123426335953	0.0	0.0	0.0	0.726154935877	0.133218346547	0.726154935877
17	1.7	10.0	1.389747177	0.0	0.0	0.137040397577	0.0	0.0	0.0	0.711777731492	0.1389747177	0.711777731492
18	1.8	10.0	1.44533687338	0.0	0.0	0.151219246096	0.0	0.0	0.0	0.697685449019	0.144533687338	0.697685449019
19	1.9	10.0	1.49899864904	0.0	0.0	0.165944645563	0.0	0.0	0.0	0.683871751217	0.149899864904	0.683871751217
20	2.0	10.0	1.55077891157	0.0	0.0	0.181197560045	0.0	0.0	0.0	0.670331770125	0.155077891157	0.670331770125
21	2.1	10.0	1.60072308207	0.0	0.0	0.196959399628	0.0	0.0	0.0	0.657060100869	0.160072308207	0.657060100869
22	2.2	10.0	1.648875598	0.0	0.0	0.213212025956	0.0	0.0	0.0	0.644051422604	0.1648875598	0.644051422604
23	2.3	10.0	1.69527993516	0.0	0.0	0.229937741912	0.0	0.0	0.0	0.631300531115	0.169527993516	0.631300531115
24	2.4	10.0	1.73997863152	0.0	0.0	0.247119278727	0.0	0.0	0.0	0.61880233177	0.173997863152	0.61880233177
25	2.5	10.0	1.78301330676	0.0	0.0	0.264739786513	0.0	0.0	0.0	0.606551830251	0.178301330676	0.606551830251
26	2.6	10.0	1.82442468134	0.0	0.0	0.282782824975	0.0	0.0	0.0	0.59454413044	0.182442468134	0.59454413044
27	2.7	10.0	1.86425259524	0.0	0.0	0.30123235431	0.0	0.0	0.0	0.582774432323	0.186425259524	0.582774432323
28	2.8	10.0	1.90253602456	0.0	0.0	0.320072727985	0.0	0.0	0.0	0.571238029918	0.190253602456	0.571238029918
29	2.9	10.0	1.93931308444	0.0	0.0	0.339288699058	0.0	0.0	0.0	0.55993030961	0.193931308444	0.55993030961
30	3.0	10.0	1.97462108685	0.0	0.0	0.35886537175	0.0	0.0	0.0	0.54884675099	0.197462108685	0.54884675099
31	3.1	10.0	2.00849653348	0.0	0.0	0.378788216718	0.0	0.0	0.0	0.537982915995	0.200849653348	0.537982915995
32	3.2	10.0	2.04097513257	0.0	0.0	0.399043062922	0.0	0.0	0.0	0.527334452873	0.204097513257	0.527334452873
33	3.3	10.0	2.07209181519	0.0	0.0	0.419616089724	0.0	0.0	0.0	0.516897094264	0.207209181519	0.516897094264
34	3.4	10.0	2.10188075123	0.0	0.0	0.44049381922	0.0	0.0	0.0	0.506666655349	0.210188075123	0.506666655349
35	3.5	10.0	2.13037534739	0.0	0.0	0.461663126264	0.0	0.0	0.0	0.496639032058	0.213037534739	0.496639032058
36	3.6	10.0	2.15760829152	0.0	0.0	0.483111203125	0.0	0.0	0.0	0.48681020985	0.215760829152	0.48681020985
37	3.7	10.0	2.18361157007	0.0	0.0	0.504825549122	0.0	0.0	0.0	0.477176245525	0.218361157007	0.477176245525
38	3.8	10.0	2.20841646593	0.0	0.0	0.526793979579	0.0	0.0	0.0	0.467733263129	0.220841646593	0.467733263129
39	3.9	10.0	2.23205357229	0.0	0.0	0.549004619408	0.0	0.0	0.0	0.458477461874	0.223205357229	0.458477461874
40	4.0	10.0	2.25455280629	0.0	0.0	0.571445896888	0.0	0.0	0.0	0.449405114868	0.225455280629	0.449405114868
41	4.1	10.0	2.27594343845	0.0	0.0	0.594106521526	0.0	0.0	0.0	0.440512567947	0.227594343845	0.440512567947
42	4.2	10.0	2.2962541129	0.0	0.0	0.616975469632	0.0	0.0	0.0	0.431796225602	0.22962541129	0.431796225602
43	4.3	10.0	2.3155127846	0.0	0.0	0.640042052069	0.0	0.0	0.0	0.423252541318	0.23155127846	0.423252541318
44	4.4	10.0	2.33374678517	0.0	0.0	0.663295859223	0.0	0.0	0.0	0.414878077272	0.233374678517	0.414878077272
45	4.5	10.0	2.35098283587	0.0	0.0	0.686726754975	0.0	0.0	0.0	0.406669464515	0.235098283587	0.406669464515
46	4.6	10.0	2.36724706031	0.0	0.0	0.71032487072	0.0	0.0	0.0	0.398623401832	0.236724706031	0.398623401832
47	4.7	10.0	2.38256499706	0.0	0.0	0.734080599425	0.0	0.0	0.0	0.390736654577	0.238256499706	0.390736654577
48	4.8	10.0	2.39696161211	0.0	0.0	0.757984589728	0.0	0.0	0.0	0.383006053485	0.239696161211	0.383006053485
49	4.9	10.0	2.41046131108	0.0	0.0	0.782027740102	0.0	0.0	0.0	0.375428493454	0.241046131108	0.375428493454
50	5.0	10.0	2.42308795132	0.0	0.0	0.806201193094	0.0	0.0	0.0	0.36800093231	0.242308795132	0.36800093231
51	5.1	10.0	2.43486485372	0.0	0.0	0.830496329648	0.0	0.0	0.0	0.360720389552	0.243486485372	0.360720389552
52	5.2	10.0	2.44581481435	0.0	0.0	0.854904763527	0.0	0.0	0.0	0.353583945084	0.244581481435	0.353583945084
53	5.3	10.0	2.45596011582	0.0	0.0	0.87941833585	0.0	0.0	0.0	0.346588737948	0.245596011582	0.346588737948
54	5.4	10.0	2.46532253843	0.0	0.0	0.904029109744	0.0	0.0	0.0	0.339731965063	0.246532253843	0.339731965063
55	5.5	10.0	2.47392337105	0.0	0.0	0.928729365126	0.0	0.0	0.0	0.333010879973	0.247392337105	0.333010879973
56	5.6	10.0	2.48178342173	0.0	0.0	0.953511593607	0.0	0.0	0.0	0.326422791621	0.248178342173	0.326422791621
57	5.7	10.0	2.48892302813	0.0	0.0	0.97836849352	0.0	0.0	0.0	0.319965063141	0.248892302813	0.319965063141
58	5.8	10.0	2.49536206763	0.0	0.0	1.00329296509	0.0	0.0	0.0	0.313635110675	0.249536206763	0.313635110675
59	5.9	10.0	2.50111996724	0.0	0.0	1.0282781057	0.0	0.0	0.0	0.307430402228	0.250111996724	0.307430402228
60	6.0	10.0	2.50621571329	0.0	0.0	1.0533172053	0.0	0.0	0.0	0.301348456543	0.250621571329	0.301348456543
61	6.1	10.0	2.51066786084	0.0	0.0	1.07840374195	0.0	0.0	0.0	0.295386842012	0.251066786084	0.295386842012
62	6.2	10.0	2.51449454295	0.0	0.0	1.10353137741	0.0	0.0	0.0	0.289543175619	0.251449454295	0.289543175619
63	6.3	10.0	2.51771347966	0.0	0.0	1.12869395289	0.0	0.0	0.0	0.283815121906	0.251771347966	0.283815121906
64	6.4	10.0	2.52034198682	0.0	0.0	1.15388548493	0.0	0.0	0.0	0.278200391973	0.252034198682	0.278200391973
65	6.5	10.0	2.52239698472	0.0	0.0	1.17910016128	0.0	0.0	0.0	0.272696742502	0.252239698472	0.272696742502
66	6.6	10.0	2.52389500649	0.0	0.0	1.20433233699	0.0	0.0	0.0	0.267301974815	0.252389500649	0.267301974815
